model,test_start,test_end,users_in_window,total_n_test,total_n_train,accuracy_top1,f1_macro_top1,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
baseline,2025-02-06 12:00:34.919013-03:00,2025-02-13 12:00:34.919013-03:00,1,55,417,0.0,0.0,0.0,0.07272727272727272,0.12727272727272726,0.0,0.024242424242424242,0.03606060606060606
baseline,2025-02-06 13:54:27.589002-03:00,2025-02-13 13:54:27.589002-03:00,1,1563,14077,0.17786308381317978,0.003473802647884651,0.17786308381317978,0.26807421625079975,0.4037108125399872,0.17786308381317978,0.21273192578374808,0.24264235444657553
baseline,2025-02-07 14:30:05.710000-03:00,2025-02-14 14:30:05.710000-03:00,1,597,1662,0.27638190954773867,0.014288807101104136,0.27638190954773867,0.39195979899497485,0.47738693467336685,0.27638190954773867,0.3238414293690677,0.34352317141261873
baseline,2025-02-07 14:50:13.611001-03:00,2025-02-14 14:50:13.611001-03:00,1,1368,11085,0.01608187134502924,0.0006456780693619562,0.01608187134502924,0.15862573099415206,0.21637426900584794,0.01608187134502924,0.07517056530214426,0.08770711500974666
baseline,2025-02-07 22:34:49.777003-03:00,2025-02-14 22:34:49.777003-03:00,1,270,2615,0.06296296296296296,0.0017662337662337664,0.06296296296296296,0.14074074074074075,0.17037037037037037,0.06296296296296296,0.09382716049382714,0.10049382716049379
baseline,2025-02-08 08:47:57.581000-03:00,2025-02-15 08:47:57.581000-03:00,1,75,301,0.08,0.003152088258471237,0.08,0.2,0.28,0.08,0.12666666666666668,0.144
baseline,2025-02-08 10:28:20.800009-03:00,2025-02-15 10:28:20.800009-03:00,1,427,2532,0.22950819672131148,0.014933333333333333,0.22950819672131148,0.3629976580796253,0.4847775175644028,0.22950819672131148,0.29547228727556596,0.325800156128025
baseline,2025-02-10 16:21:46.497003-03:00,2025-02-17 16:21:46.497003-03:00,1,771,4149,0.01556420233463035,0.0002376072945439425,0.01556420233463035,0.0609597924773022,0.11024643320363164,0.01556420233463035,0.03739731949848681,0.04939472546476438
baseline,2025-02-13 07:19:11.962001-03:00,2025-02-20 07:19:11.962001-03:00,1,1501,18852,0.05329780146568954,0.0008793901070323834,0.05329780146568954,0.20253164556962025,0.26115922718187873,0.05329780146568954,0.1159227181878749,0.12891405729513683
baseline,2025-02-13 07:29:04.576003-03:00,2025-02-20 07:29:04.576003-03:00,1,573,5276,0.03664921465968586,0.0005563871924967212,0.03664921465968586,0.10296684118673648,0.16753926701570682,0.03664921465968586,0.06079115764979641,0.07597440372309483
baseline,2025-02-13 09:14:25.081005-03:00,2025-02-20 09:14:25.081005-03:00,1,149,1789,0.10738255033557047,0.002469898116702686,0.10738255033557047,0.12080536912751678,0.16778523489932887,0.10738255033557047,0.11297539149888143,0.12304250559284116
baseline,2025-02-13 11:29:41.527005-03:00,2025-02-20 11:29:41.527005-03:00,1,656,6407,0.19664634146341464,0.004502224936741995,0.19664634146341464,0.24847560975609756,0.3490853658536585,0.19664634146341464,0.21697154471544716,0.24090447154471548
baseline,2025-02-13 11:43:42.906010-03:00,2025-02-20 11:43:42.906010-03:00,1,673,19794,0.3164933135215453,0.01556500086977399,0.3164933135215453,0.4561664190193165,0.5096582466567607,0.3164933135215453,0.3803863298662706,0.39182763744427906
baseline,2025-02-13 12:00:34.919013-03:00,2025-02-20 12:00:34.919013-03:00,1,105,472,0.01904761904761905,0.0009049773755656109,0.01904761904761905,0.05714285714285714,0.08571428571428572,0.01904761904761905,0.03492063492063492,0.04158730158730159
baseline,2025-02-13 13:54:27.589002-03:00,2025-02-20 13:54:27.589002-03:00,1,738,15640,0.15176151761517614,0.005045699261299612,0.15176151761517614,0.2073170731707317,0.2994579945799458,0.15176151761517614,0.17818428184281843,0.20115176151761516
baseline,2025-02-14 14:30:05.710000-03:00,2025-02-21 14:30:05.710000-03:00,1,131,2259,0.2366412213740458,0.022512708787218588,0.2366412213740458,0.3435114503816794,0.4580152671755725,0.2366412213740458,0.27735368956743,0.3036895674300255
baseline,2025-02-14 14:50:13.611001-03:00,2025-02-21 14:50:13.611001-03:00,1,2204,12453,0.0721415607985481,0.0029450828938247463,0.0721415607985481,0.28448275862068967,0.3706896551724138,0.0721415607985481,0.15366001209921287,0.1725120992135498
baseline,2025-02-14 22:34:49.777003-03:00,2025-02-21 22:34:49.777003-03:00,1,234,2885,0.1111111111111111,0.005050505050505051,0.1111111111111111,0.20512820512820512,0.3034188034188034,0.1111111111111111,0.14601139601139598,0.16866096866096866
baseline,2025-02-15 08:47:57.581000-03:00,2025-02-22 08:47:57.581000-03:00,1,57,376,0.03508771929824561,0.001937046004842615,0.03508771929824561,0.05263157894736842,0.10526315789473684,0.03508771929824561,0.043859649122807015,0.05438596491228071
baseline,2025-02-15 10:28:20.800009-03:00,2025-02-22 10:28:20.800009-03:00,1,596,2959,0.20469798657718122,0.008495821727019497,0.20469798657718122,0.4228187919463087,0.4949664429530201,0.20469798657718122,0.30732662192393734,0.32217561521252747
baseline,2025-02-17 16:21:46.497003-03:00,2025-02-24 16:21:46.497003-03:00,1,473,4920,0.06976744186046512,0.0011888036312547284,0.06976744186046512,0.1522198731501057,0.20507399577167018,0.06976744186046512,0.1042988019732206,0.11666666666666672
baseline,2025-02-20 07:19:11.962001-03:00,2025-02-27 07:19:11.962001-03:00,1,1131,20353,0.050397877984084884,0.0007215007215007215,0.050397877984084884,0.13085764809902742,0.20866489832007074,0.050397877984084884,0.08473327438844677,0.10285882699675802
baseline,2025-02-20 07:29:04.576003-03:00,2025-02-27 07:29:04.576003-03:00,1,395,5849,0.035443037974683546,0.0016591104734576757,0.035443037974683546,0.04810126582278481,0.11139240506329114,0.035443037974683546,0.04177215189873418,0.05594936708860758
baseline,2025-02-20 09:14:25.081005-03:00,2025-02-27 09:14:25.081005-03:00,1,144,1938,0.0763888888888889,0.0019990913221263062,0.0763888888888889,0.10416666666666667,0.1388888888888889,0.0763888888888889,0.09027777777777778,0.09756944444444444
baseline,2025-02-20 11:29:41.527005-03:00,2025-02-27 11:29:41.527005-03:00,1,534,7063,0.0149812734082397,0.0003644480889253337,0.0149812734082397,0.1348314606741573,0.3857677902621723,0.0149812734082397,0.07084893882646695,0.12347066167290906
baseline,2025-02-20 11:43:42.906010-03:00,2025-02-27 11:43:42.906010-03:00,1,2036,20467,0.21709233791748528,0.006832858842093385,0.21709233791748528,0.23035363457760313,0.24214145383104127,0.21709233791748528,0.22323182711198428,0.22566306483300577
baseline,2025-02-20 12:00:34.919013-03:00,2025-02-27 12:00:34.919013-03:00,1,34,577,0.17647058823529413,0.0196078431372549,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413
baseline,2025-02-20 13:54:27.589002-03:00,2025-02-27 13:54:27.589002-03:00,1,923,16378,0.0790899241603467,0.0020947840950329426,0.0790899241603467,0.4875406283856988,0.49079089924160346,0.0790899241603467,0.23040808956301867,0.23111231491513132
baseline,2025-02-20 23:05:36.614007-03:00,2025-02-27 23:05:36.614007-03:00,1,27,77,0.0,0.0,0.0,0.07407407407407407,0.2222222222222222,0.0,0.030864197530864196,0.062345679012345674
baseline,2025-02-21 14:30:05.710000-03:00,2025-02-28 14:30:05.710000-03:00,1,391,2390,0.1636828644501279,0.009700644183402805,0.1636828644501279,0.3171355498721228,0.3938618925831202,0.1636828644501279,0.22250639386189247,0.23925831202046027
baseline,2025-02-21 14:50:13.611001-03:00,2025-02-28 14:50:13.611001-03:00,1,452,14657,0.23008849557522124,0.007604463694380478,0.23008849557522124,0.3606194690265487,0.42035398230088494,0.23008849557522124,0.282079646017699,0.29491150442477865
baseline,2025-02-21 22:34:49.777003-03:00,2025-02-28 22:34:49.777003-03:00,1,187,3119,0.1657754010695187,0.006771515945827873,0.1657754010695187,0.3315508021390374,0.44385026737967914,0.1657754010695187,0.232620320855615,0.25962566844919793
baseline,2025-02-22 08:47:57.581000-03:00,2025-03-01 08:47:57.581000-03:00,1,39,433,0.1794871794871795,0.013833992094861663,0.1794871794871795,0.1794871794871795,0.23076923076923078,0.1794871794871795,0.1794871794871795,0.19230769230769232
baseline,2025-02-22 10:28:20.800009-03:00,2025-03-01 10:28:20.800009-03:00,1,589,3555,0.1765704584040747,0.006766428106701366,0.1765704584040747,0.466893039049236,0.631578947368421,0.1765704584040747,0.3027730616864742,0.338851160158461
baseline,2025-02-24 16:21:46.497003-03:00,2025-03-03 16:21:46.497003-03:00,1,180,5393,0.07777777777777778,0.0023660638837248605,0.07777777777777778,0.12777777777777777,0.16111111111111112,0.07777777777777778,0.10185185185185185,0.11018518518518518
baseline,2025-02-27 07:19:11.962001-03:00,2025-03-06 07:19:11.962001-03:00,1,379,21484,0.047493403693931395,0.000847477577155771,0.047493403693931395,0.1662269129287599,0.24010554089709762,0.047493403693931395,0.09718557607739667,0.11407211961301678
baseline,2025-02-27 07:29:04.576003-03:00,2025-03-06 07:29:04.576003-03:00,1,576,6244,0.008680555555555556,0.0002371437241594164,0.008680555555555556,0.0625,0.10416666666666667,0.008680555555555556,0.03414351851851852,0.043952546296296295
baseline,2025-02-27 09:14:25.081005-03:00,2025-03-06 09:14:25.081005-03:00,1,150,2082,0.05333333333333334,0.0015343306482546988,0.05333333333333334,0.11333333333333333,0.13333333333333333,0.05333333333333334,0.07888888888888888,0.08288888888888889
baseline,2025-02-27 11:29:41.527005-03:00,2025-03-06 11:29:41.527005-03:00,1,391,7597,0.015345268542199489,0.0005397625044980209,0.015345268542199489,0.17391304347826086,0.35294117647058826,0.015345268542199489,0.08610400682011933,0.12753623188405797
baseline,2025-02-27 11:43:42.906010-03:00,2025-03-06 11:43:42.906010-03:00,1,1433,22503,0.06838799720865317,0.002712164611786846,0.06838799720865317,0.08164689462665736,0.25819958129797627,0.06838799720865317,0.07338916026983022,0.11543382181902749
baseline,2025-02-27 12:00:34.919013-03:00,2025-03-06 12:00:34.919013-03:00,1,6,611,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.2222222222222222,0.2222222222222222
baseline,2025-02-27 13:54:27.589002-03:00,2025-03-06 13:54:27.589002-03:00,1,1103,17301,0.10698096101541252,0.0025286504702381665,0.10698096101541252,0.3272892112420671,0.4913871260199456,0.10698096101541252,0.19945602901178572,0.24011786038078023
baseline,2025-02-27 23:05:36.614007-03:00,2025-03-06 23:05:36.614007-03:00,1,19,104,0.2631578947368421,0.045454545454545456,0.2631578947368421,0.47368421052631576,0.7368421052631579,0.2631578947368421,0.3333333333333333,0.39385964912280697
baseline,2025-02-28 14:30:05.710000-03:00,2025-03-07 14:30:05.710000-03:00,1,279,2781,0.14336917562724014,0.008956560680698611,0.14336917562724014,0.3333333333333333,0.5125448028673835,0.14336917562724014,0.23775388291517327,0.28076463560334525
